name,diet,lived_in,type,length,taxonomy,named_by,species,link,period name,period start (million years ago),period end (million years ago),Kingdom,Phylum,Class,Order,Suborder,Infraorder,Family
probactrosaurus,herbivorous,China,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Rozhdestvensky (1966),gobiensis,https://www.nhm.ac.uk/discover/dino-directory/probactrosaurus.html,Early Cretaceous,121,99,Dinosauria,Ornithischia,Genasauria,Cerapoda,Ornithopoda,Euornithopoda,Iguanadontia
proceratosaurus,carnivorous,United Kingdom,small theropod,4.1m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,Woodward (1910),bradleyi,https://www.nhm.ac.uk/discover/dino-directory/proceratosaurus.html,Mid Jurassic,169,164,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Coelurosauria
procompsognathus,carnivorous,Germany,small theropod,1.0m,Dinosauria Saurischia Theropoda Neotheropoda Coelophysoidea,Fraas (1913),triassicus,https://www.nhm.ac.uk/discover/dino-directory/procompsognathus.html,Late Triassic,221,210,Dinosauria,Saurischia,Theropoda,Neotheropoda,Coelophysoidea,,
prosaurolophus,herbivorous,USA,euornithopod,7.6m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Brown (1916),maximus,https://www.nhm.ac.uk/discover/dino-directory/prosaurolophus.html,Late Cretaceous,77,75,Dinosauria,Ornithischia,Genasauria,Cerapoda,Ornithopoda,Euornithopoda,Iguanadontia
protarchaeopteryx,carnivorous,China,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora,Ji and Ji (1997),robusta,https://www.nhm.ac.uk/discover/dino-directory/protarchaeopteryx.html,Early Cretaceous,122,120,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Coelurosauria
protoceratops,herbivorous,Mongolia,ceratopsian,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Granger and Gregory (1923),andrewsi,https://www.nhm.ac.uk/discover/dino-directory/protoceratops.html,Late Cretaceous,74,70,Dinosauria,Ornithischia,Genasauria,Cerapoda,Marginocephalia,Ceratopsia,Neoceratopsia
protohadros,herbivorous,USA,euornithopod,6.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Head (1998),byrdi,https://www.nhm.ac.uk/discover/dino-directory/protohadros.html,Late Cretaceous,99,94,Dinosauria,Ornithischia,Genasauria,Cerapoda,Ornithopoda,Euornithopoda,Iguanadontia
psittacosaurus,herbivorous,Russia,ceratopsian,2.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html,Early Cretaceous,120,100,Dinosauria,Ornithischia,Genasauria,Cerapoda,Marginocephalia,Ceratopsia,Psittacosauridae
quaesitosaurus,herbivorous,Mongolia,sauropod,23.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Nemegtosauridae,Kurzanov and Bannikov (1983),orientalis,https://www.nhm.ac.uk/discover/dino-directory/quaesitosaurus.html,Late Cretaceous,86,84,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda,Eusauropoda,Neosauropoda,Diplodocoidea
rebbachisaurus,herbivorous,Morocco,sauropod,20.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Rebbachisauridae,Lavocat (1954),garasbae,https://www.nhm.ac.uk/discover/dino-directory/rebbachisaurus.html,Early Cretaceous,112,99,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda,Eusauropoda,Neosauropoda,Diplodocoidea
rhabdodon,herbivorous,Spain,euornithopod,4.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Matherton (1869),priscus,https://www.nhm.ac.uk/discover/dino-directory/rhabdodon.html,Late Cretaceous,76,70,Dinosauria,Ornithischia,Genasauria,Cerapoda,Ornithopoda,Euornithopoda,Iguanadontia
rhoetosaurus,herbivorous,Australia,sauropod,15.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda,Longman (1926),brownei,https://www.nhm.ac.uk/discover/dino-directory/rhoetosaurus.html,Mid Jurassic,177,169,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda,,,
rinchenia,omnivorous,Mongolia,small theropod,2.5m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Oviraptorinae,Barsbold (1986),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/rinchenia.html,Late Cretaceous,72,68,Dinosauria,Saurischia,Theropoda,Neotheropoda,Tetanurae,Avetheropoda,Coelurosauria
riojasaurus,herbivorous/omnivorous,Argentina,sauropod,5.15m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Bonaparte (1969),incertus,https://www.nhm.ac.uk/discover/dino-directory/riojasaurus.html,Late Triassic,221,210,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda,Anchisauria,Melanorosauridae,
rugops,carnivorous,Niger,large theropod,7.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html,,,,Dinosauria,Saurischia,Theropoda,Neotheropoda,Ceratosauria,Neoceratosauria,Abelisauridae
saichania,herbivorous,Mongolia,armoured dinosaur,6.6m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maryañska (1977),chulsanensis,https://www.nhm.ac.uk/discover/dino-directory/saichania.html,,,,Dinosauria,Ornithischia,Genasauria,Thyreophora,Ankylosauromorpha,Ankylosauria,Ankylosauridae
saltasaurus,herbivorous,Argentina,sauropod,12.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia Saltasauridae,Bonaparte and Powell (1980),loricatus,https://www.nhm.ac.uk/discover/dino-directory/saltasaurus.html,Late Cretaceous,70,65,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda,Eusauropoda,Neosauropoda,Macronaria
saltopus,carnivorous,United Kingdom,small theropod,,Dinosauria,Huene (1910),elginensis,https://www.nhm.ac.uk/discover/dino-directory/saltopus.html,Late Triassic,221,210,Dinosauria,,,,,,
sarcosaurus,carnivorous,United Kingdom,small theropod,3.0m,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria,Andrews (1921),woodi,https://www.nhm.ac.uk/discover/dino-directory/sarcosaurus.html,Early Jurassic,202,195,Dinosauria,Saurischia,Theropoda,Neotheropoda,Ceratosauria,,
